Year,Discharge
1961,851.4524536132812
1962,784.8523559570312
1963,1224.7950439453125
1964,1235.3822021484375
1965,591.8919067382812
1966,1022.8010864257812
1967,791.226806640625
1968,984.9310302734375
1969,2111.24951171875
1970,1657.9163818359375
1971,2247.714111328125
1972,1710.3756103515625
1973,1108.83984375
1974,2678.533203125
1975,1174.2166748046875
1976,2400.590087890625
1977,1205.508544921875
1978,1364.626220703125
1979,1041.249755859375
1980,894.0044555664062
1981,1211.4591064453125
1982,1493.5933837890625
1983,1153.7813720703125
1984,1692.8609619140625
1985,1132.870361328125
1986,1899.9813232421875
1987,1971.0267333984375
1988,1143.977783203125
1989,744.2839965820312
1990,821.3026123046875
1991,2538.915283203125
1992,1556.4990234375
1993,1346.642333984375
1994,1830.260009765625
1995,765.1793212890625
1996,1483.889892578125
1997,928.0035400390625
1998,1577.62548828125
1999,674.3330078125
2000,1057.114501953125
2001,1894.2978515625
2002,1246.305419921875
2003,807.19677734375
2004,1117.670654296875
2005,1435.4290771484375
2006,1685.2252197265625
2007,1790.7598876953125
2008,1706.2689208984375
2009,1832.2919921875
2010,1435.5921630859375
2011,2413.41650390625
2012,1467.8848876953125
2013,1209.58203125
2014,1372.7994384765625
2015,1439.0655517578125
2016,1237.0423583984375
2017,1465.2110595703125
2018,1925.712158203125
2019,2345.3974609375
2020,1486.0167236328125
