Year,SeaLevel
1897,6.569
1898,6.641
1901,6.618
1903,6.61
1904,6.648
1905,6.612
1906,6.651
1908,6.552
1909,6.638
1915,6.579
1916,6.616
1917,6.699
1918,6.631
1919,6.521
1920,6.595
1921,6.678
1922,6.619
1923,6.641
1924,6.673
1925,6.641
1927,6.699
1928,6.683
1929,6.666
1930,6.626
1931,6.639
1932,6.655
1933,6.709
1934,6.749
1935,6.668
1936,6.672
1937,6.646
1938,6.669
1939,6.735
1940,6.596
1941,6.632
1943,6.67
1944,6.669
1945,6.745
1946,6.693
1947,6.683
1948,6.709
1949,6.753
1950,6.756
1951,6.677
1952,6.681
1953,6.684
1954,6.685
1955,6.797
1956,6.744
1957,6.704
1958,6.685
1959,6.697
1960,6.672
1961,6.669
1962,6.761
1963,6.791
1964,6.758
1966,6.705
1968,6.718
1969,6.651
1970,6.727
1971,6.745
1972,6.674
1973,6.735
1974,6.795
1975,6.817
1976,6.735
1977,6.682
1978,6.746
1979,6.692
1980,6.693
1981,6.723
1982,6.672
1983,6.73
1984,6.766
1985,6.736
1986,6.694
1987,6.656
1988,6.777
1989,6.78
1990,6.699
1991,6.707
1992,6.699
1993,6.648
1994,6.685
1995,6.746
1996,6.822
1997,6.703
1998,6.744
1999,6.876
2000,6.852
2001,6.779
2002,6.715
2003,6.741
2004,6.743
2005,6.76
2006,6.753
2007,6.778
2008,6.858
2009,6.806
2010,6.798
2011,6.925
2012,6.895
2013,6.895
2014,6.823
2015,6.783
2016,6.788
2017,6.837
2018,6.808
2019,6.779
2020,6.843
2021,6.921
2022,6.928
